query,time,httpCalls,dataTransfer,nbResults,state
shop_query-1,73,4,103624,0,error
shop_query-2,3937,2075,46246540,0,complete
shop_query-3,168,30,619662,0,error
shop_query-4,23,0,0,0,error
shop_query-5,64,3,52616,0,error
shop_query-6,13512,11177,75450886,0,complete
shop_query-7,111,12,249800,0,error
shop_query-8,27,0,0,0,error
shop_query-9,25567,5389,110973960,0,complete
shop_query-10,1355,720,13544786,0,complete
shop_query-11,133,21,547704,0,error
shop_query-12,24,0,0,0,error
shop_query-13,100,10,266140,0,error
shop_query-14,2428,710,20404298,0,complete
shop_query-15,2477,1114,24017724,0,complete
shop_query-16,21,0,0,0,error
shop_query-17,0,0,0,0,error
shop_query-18,896,395,8147696,0,complete
shop_query-19,2446,719,14500638,0,complete
shop_query-20,83,5,118694,0,error
shop_query-21,115,16,285316,0,error
shop_query-22,0,0,0,0,error
shop_query-23,113,15,358520,0,error
shop_query-24,23,0,0,0,error
shop_query-25,349,151,3839298,0,error
shop_query-26,7161,4096,92527502,0,complete
shop_query-27,2152,796,18179764,0,complete
shop_query-28,221,61,1558912,0,error
shop_query-29,71,5,95012,0,error
shop_query-30,23,0,0,0,error
