query,time,httpCalls,dataTransfer,nbResults,state
shop_query-1,290839,27128,12416826,0,complete
shop_query-2,24,3,957,0,complete
shop_query-3,33389,2267,948125,0,complete
shop_query-4,367284,35674,14311951,0,complete
shop_query-5,1830860,118848,54097475,22146,interrupted
shop_query-6,198,32,13844,0,complete
shop_query-7,1799983,332011,145862051,0,interrupted
shop_query-8,441432,66848,29748431,0,complete
shop_query-9,478,90,35695,0,complete
shop_query-10,167109,12718,5896351,6,complete
shop_query-11,627519,101657,43191199,0,complete
shop_query-12,419820,50277,22097201,7,complete
shop_query-13,119843,4934,2087164,0,complete
shop_query-14,390218,34680,15969592,2,complete
shop_query-15,386,78,33446,0,complete
shop_query-16,249265,16823,7712223,0,complete
shop_query-17,1799983,325828,126390251,33936,interrupted
shop_query-18,9728,1366,635584,0,complete
shop_query-19,24,3,947,0,complete
shop_query-20,712,140,76126,0,complete
shop_query-21,173345,28029,11211832,0,complete
shop_query-22,157065,13137,6045167,0,complete
shop_query-23,173703,24017,9707605,0,complete
shop_query-24,368877,28743,12507367,0,complete
shop_query-25,8319,1048,483407,0,complete
shop_query-26,335476,35671,16071917,47,complete
shop_query-27,8558,1665,724728,0,complete
shop_query-28,25192,1863,869806,0,complete
shop_query-29,731,140,60111,3,complete
shop_query-30,1827861,52187,24227398,2294,interrupted
