query,time,httpCalls,dataTransfer,nbResults,state
shop_query-1,3116,420,457120,0,complete
shop_query-2,22,1,2106,0,complete
shop_query-3,2119,336,217737,0,complete
shop_query-4,231351,3344,4587390,0,complete
shop_query-5,1799984,184616,267901486,264285,interrupted
shop_query-6,22,1,1579,0,complete
shop_query-7,316038,30145,23295280,0,complete
shop_query-8,3765,327,477441,0,complete
shop_query-9,282,17,36168,0,complete
shop_query-10,1404,174,166201,6,complete
shop_query-11,471400,26872,24922916,0,complete
shop_query-12,330382,50271,22091482,7,complete
shop_query-13,9801,1475,965814,0,complete
shop_query-14,89,6,5656,2,complete
shop_query-15,21,1,1402,0,complete
shop_query-16,1052,113,128760,0,complete
shop_query-17,1356562,93643,109413974,46074,complete
shop_query-18,75,7,7776,0,complete
shop_query-19,20,1,1723,0,complete
shop_query-20,736,140,76095,0,complete
shop_query-21,25524,2000,4007763,0,complete
shop_query-22,497,25,47632,0,complete
shop_query-23,17927,1460,2592345,0,complete
shop_query-24,24755,3300,3328610,0,complete
shop_query-25,348,43,43545,0,complete
shop_query-26,2917,254,409867,47,complete
shop_query-27,1753,182,253325,0,complete
shop_query-28,60,5,5421,0,complete
shop_query-29,124,13,14505,3,complete
shop_query-30,1868057,38885,58380480,47745,interrupted
